date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:40:49	43963/43963	---MCZ	200	added ('OK')	text/html	etag:W/%225c6a953b-abbb%22	https://demo.bootstrapious.com/university/1-1-1/index.html	C:/My%20Web%20Sites/ff/demo.bootstrapious.com/university/1-1-1/index.html	(from )
14:40:50	178/178	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20Jan%202020%2012:41:34%20GMT	https://demo.bootstrapious.com/robots.txt		(from )
14:40:51	155758/155758	---MCZ	200	added ('OK')	text/css	date:Mon,%2018%20Feb%202019%2011:21:52%20GMT	https://d19m59y37dris4.cloudfront.net/university/1-1-1/vendor/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/ff/d19m59y37dris4.cloudfront.net/university/1-1-1/vendor/bootstrap/css/bootstrap.min.css	(from https://demo.bootstrapious.com/university/1-1-1/index.html)
14:40:51	31000/31000	---MCZ	200	added ('OK')	text/css	date:Mon,%2018%20Feb%202019%2011:22:53%20GMT	https://d19m59y37dris4.cloudfront.net/university/1-1-1/vendor/font-awesome/css/font-awesome.min.css	C:/My%20Web%20Sites/ff/d19m59y37dris4.cloudfront.net/university/1-1-1/vendor/font-awesome/css/font-awesome.min.css	(from https://demo.bootstrapious.com/university/1-1-1/index.html)
14:40:52	7859/7859	---MCZ	200	added ('OK')	text/css	date:Mon,%2018%20Feb%202019%2011:19:03%20GMT	https://d19m59y37dris4.cloudfront.net/university/1-1-1/css/font.css	C:/My%20Web%20Sites/ff/d19m59y37dris4.cloudfront.net/university/1-1-1/css/font.css	(from https://demo.bootstrapious.com/university/1-1-1/index.html)
14:40:52	22256/22256	---MCZ	200	added ('OK')	text/css	date:Mon,%2018%20Feb%202019%2011:24:18%20GMT	https://d19m59y37dris4.cloudfront.net/university/1-1-1/vendor/swiper/css/swiper.css	C:/My%20Web%20Sites/ff/d19m59y37dris4.cloudfront.net/university/1-1-1/vendor/swiper/css/swiper.css	(from https://demo.bootstrapious.com/university/1-1-1/index.html)
14:40:52	4210/4210	---MCZ	200	added ('OK')	text/css	date:Mon,%2018%20Feb%202019%2011:23:53%20GMT	https://d19m59y37dris4.cloudfront.net/university/1-1-1/vendor/lity/lity.css	C:/My%20Web%20Sites/ff/d19m59y37dris4.cloudfront.net/university/1-1-1/vendor/lity/lity.css	(from https://demo.bootstrapious.com/university/1-1-1/index.html)
14:40:52	11338/11338	---MCZ	200	added ('OK')	text/css	date:Mon,%2018%20Feb%202019%2011:22:11%20GMT	https://d19m59y37dris4.cloudfront.net/university/1-1-1/vendor/bootstrap-select/css/bootstrap-select.css	C:/My%20Web%20Sites/ff/d19m59y37dris4.cloudfront.net/university/1-1-1/vendor/bootstrap-select/css/bootstrap-select.css	(from https://demo.bootstrapious.com/university/1-1-1/index.html)
14:40:53	61253/61253	---MCZ	200	added ('OK')	text/css	date:Mon,%2018%20Feb%202019%2011:19:07%20GMT	https://d19m59y37dris4.cloudfront.net/university/1-1-1/css/style.default.css	C:/My%20Web%20Sites/ff/d19m59y37dris4.cloudfront.net/university/1-1-1/css/style.default.css	(from https://demo.bootstrapious.com/university/1-1-1/index.html)
14:40:53	25/25	---M--	200	added ('OK')	text/css	etag:%225c6a94a7-19%22	https://d19m59y37dris4.cloudfront.net/university/1-1-1/css/custom.css	C:/My%20Web%20Sites/ff/d19m59y37dris4.cloudfront.net/university/1-1-1/css/custom.css	(from https://demo.bootstrapious.com/university/1-1-1/index.html)
